,name,reference product,location,unit
115,market for bark,bark,GLO,kilogram
116,nutrient supply from urea ammonium nitrate mix,"inorganic nitrogen fertiliser, as N",RoW,kilogram
117,"cast iron milling, average","cast iron removed by milling, average",RoW,kilogram
118,"market for bark chips, wet, measured as dry mass","bark chips, wet, measured as dry mass",Europe without Switzerland,kilogram
119,"electricity, medium voltage, residual mix","electricity, medium voltage",ME,kilowatt hour
120,nutrient supply from potassium nitrate,"inorganic potassium fertiliser, as K2O",RER,kilogram
121,"transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO4, carbon dioxide, liquid refrigerant, freezing","transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO4, carbon dioxide, liquid refrigerant, freezing",GLO,ton kilometer
122,"electricity production, hydro, run-of-river","electricity, high voltage",CN-QH,kilowatt hour
123,"heat and power co-generation, wood chips, 6667 kW","heat, district or industrial, other than natural gas",CH,megajoule
124,"market for transport, passenger car, small size, diesel, EURO 4","transport, passenger car, small size, diesel, EURO 4",GLO,kilometer
125,"electric parts production, heat and power co-generation unit, 160kW electrical","electric parts, heat and power co-generation unit, 160kW electrical",RoW,unit
126,market for sodium tetrafluoroborate,sodium tetrafluoroborate,GLO,kilogram
127,"market for process-specific burdens, residual material landfill","process-specific burdens, residual material landfill",CH,kilogram
128,"electricity, high voltage, production mix","electricity, high voltage",MX,kilowatt hour
129,"heat and power co-generation, biogas, gas engine","electricity, high voltage",DK,kilowatt hour
130,sweet corn production,sweet corn,US,kilogram
131,"treatment of used door, outer, wood-aluminium, collection for final disposal","used door, outer, wood-aluminium",CH,square meter
132,"market for transport, freight, light commercial vehicle, EURO2","transport, freight, light commercial vehicle, EURO2",ZA,ton kilometer
133,"heat production, light fuel oil, at industrial furnace 1MW","heat, district or industrial, other than natural gas",Europe without Switzerland,megajoule
134,market for microwave oven,microwave oven,GLO,unit
135,"treatment of bilge oil, hazardous waste incineration",bilge oil,RoW,kilogram
136,"planing, board, softwood, u=20%","shavings, softwood, loose, measured as dry mass",CA-QC,kilogram
137,market for municipal solid waste,municipal solid waste,LV,kilogram
138,market for municipal solid waste,municipal solid waste,NO,kilogram
139,"market for electricity, low voltage","electricity, low voltage",BD,kilowatt hour
140,"treatment of residue from mechanical treatment, cathode ray tube display, municipal waste incineration","residue from mechanical treatment, cathode ray tube display",RoW,kilogram
141,"treatment of waste polyurethane foam, collection for final disposal",waste polyurethane foam,CH,kilogram
142,EUR-flat pallet production,EUR-flat pallet,RER,unit
143,propyl amine production,propyl amine,RoW,kilogram
144,sodium persulfate production,sodium persulfate,GLO,kilogram
145,"market for protein feed, 100% crude","protein feed, 100% crude",GLO,kilogram
146,market for hexafluoroethane,hexafluoroethane,GLO,kilogram
147,"electricity production, wind, 1-3MW turbine, onshore","electricity, high voltage",NP,kilowatt hour
148,"market for sugarcane transfer, by dump cart","sugarcane transfer, by dump cart",GLO,hectare
149,"market for glass cullet, lead containing, from used cathode ray tube","glass cullet, lead containing, from used cathode ray tube",GLO,kilogram
150,"treatment of waste polyethylene, open dump, dry infiltration class (100mm)",waste polyethylene,GLO,kilogram
151,electric arc furnace secondary metallurgy slag to market for electric arc furnace secondary metallurgy slag for recovery,electric arc furnace secondary metallurgy slag,RoW,kilogram
152,"lime production, hydrated, packed","lime, hydrated, packed",CH,kilogram
153,"beam, softwood, raw, kiln drying to u=10%","sawnwood, beam, softwood, raw, dried (u=10%)",Europe without Switzerland,cubic meter
154,"air separation, xenon krypton purification","xenon, gaseous",RoW,kilogram
155,trichloroethylene production,trichloroethylene,RER,kilogram
156,"market for electricity, for reuse in municipal waste incineration only","electricity, for reuse in municipal waste incineration only",CH,kilowatt hour
157,"lightweight concrete block production, polystyrene","lightweight concrete block, polystyrene",RoW,kilogram
158,"treatment of waste polyethylene terephthalate, sanitary landfill",waste polyethylene terephthalate,CH,kilogram
159,market for waste polyurethane,waste polyurethane,NL,kilogram
160,"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",DE,megajoule
161,electricity voltage transformation from high to medium voltage,"electricity, medium voltage",AT,kilowatt hour
162,"electricity, high voltage, import from CN-SWG","electricity, high voltage",CN-CCG,kilowatt hour
163,"market for electronics, for control units","electronics, for control units",GLO,kilogram
164,market for 1-butanol,1-butanol,GLO,kilogram
165,"treatment of municipal solid waste, incineration","electricity, for reuse in municipal waste incineration only",TW,kilowatt hour
166,"market for polyurethane, flexible foam, flame retardant","polyurethane, flexible foam, flame retardant",GLO,kilogram
167,"market group for electricity, high voltage","electricity, high voltage",CA,kilowatt hour
168,"maintenance, passenger car, electric, without battery","maintenance, passenger car, electric, without battery",GLO,unit
169,"market for synthetic graphite, battery grade","synthetic graphite, battery grade",RoW,kilogram
170,"clear-cutting, secondary forest to arable land, annual crop","land tenure, arable land, measured as carbon net primary productivity, annual crop",PE,kilogram
171,"electricity, high voltage, production mix","electricity, high voltage",CA-AB,kilowatt hour
172,electricity voltage transformation from medium to low voltage,"electricity, low voltage",SI,kilowatt hour
173,"electricity production, wind, 1-3MW turbine, onshore","electricity, high voltage",RU,kilowatt hour
174,market for waste polyvinylchloride,waste polyvinylchloride,IS,kilogram
175,"electricity, high voltage, production mix","electricity, high voltage",BE,kilowatt hour
176,market for cork slab,cork slab,RoW,kilogram
177,"market for furnace, pellet, 50kW","furnace, pellet, 50kW",GLO,unit
178,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted","electricity, low voltage",TW,kilowatt hour
179,"heat and power co-generation, natural gas, 50kW electrical, lean burn","heat, central or small-scale, natural gas",CH,megajoule
180,"heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014","heat, district or industrial, other than natural gas",BE,megajoule
181,"market for maize grain, feed, Swiss integrated production","maize grain, feed, Swiss integrated production",CH,kilogram
182,"market for heat, for reuse in municipal waste incineration only","heat, for reuse in municipal waste incineration only",CZ,megajoule
183,"electricity, high voltage, import from SE","electricity, high voltage",LT,kilowatt hour
184,"market for phosphoric acid, fertiliser grade, without water, in 70% solution state","phosphoric acid, fertiliser grade, without water, in 70% solution state",RER,kilogram
185,"chromium steel turning, primarily roughing, conventional","chromium steel removed by turning, primarily roughing, conventional",RER,kilogram
186,market for waste cement in concrete and mortar,waste cement in concrete and mortar,RoW,kilogram
187,zinc monosulfate production,zinc monosulfate,RoW,kilogram
188,"electricity, medium voltage, residual mix","electricity, medium voltage",LU,kilowatt hour
189,natural gas liquids fractionation,propane,GLO,kilogram
190,shale brick production,shale brick,CA-QC,kilogram
191,"heavy fuel oil production, petroleum refinery operation",heavy fuel oil,ZA,kilogram
192,"heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical","heat, district or industrial, natural gas",US-TRE,megajoule
193,market for ammonium chloride,ammonium chloride,GLO,kilogram
